781.41	7.9344
782.88	7.9339
784.34	7.9332
785.81	7.9324
787.28	7.9318
788.75	7.9312
790.22	7.9306
791.68	7.9300
793.15	7.9292
794.62	7.9285
796.09	7.9279
797.55	7.9273
799.02	7.9267
800.49	7.9260
801.96	7.9253
803.43	7.9247
804.89	7.9241
806.36	7.9234
807.83	7.9228
809.30	7.9220
810.76	7.9214
812.23	7.9208
813.70	7.9202
815.17	7.9195
816.63	7.9188
818.10	7.9181
819.57	7.9175
821.04	7.9169
822.51	7.9162
823.97	7.9156
825.44	7.9149
826.91	7.9142
828.38	7.9135
829.84	7.9129
831.31	7.9123
832.78	7.9117
834.25	7.9108
835.71	7.9102
837.18	7.9096
838.65	7.9090
840.12	7.9084
841.59	7.9076
843.05	7.9069
844.52	7.9063
845.99	7.9056
847.46	7.9050
848.92	7.9044
850.39	7.9035
851.86	7.9029
853.33	7.9025
854.80	7.9021
856.26	7.9015
857.73	7.9011
859.20	7.9005
860.67	7.9001
862.13	7.8997
863.60	7.8992
865.07	7.8987
866.54	7.8983
868.00	7.8979
869.47	7.8973
870.94	7.8969
872.41	7.8964
873.88	7.8959
875.34	7.8955
876.81	7.8951
878.28	7.8946
879.75	7.8941
881.21	7.8937
882.68	7.8931
884.15	7.8927
885.62	7.8922
887.08	7.8917
888.55	7.8913
890.02	7.8909
891.49	7.8903
892.96	7.8898
894.42	7.8894
895.89	7.8888
897.36	7.8884
898.83	7.8880
900.29	7.8874
901.76	7.8870
903.23	7.8866
904.70	7.8861
906.16	7.8856
907.63	7.8851
909.10	7.8845
910.57	7.8841
912.04	7.8837
913.50	7.8832
914.97	7.8827
916.44	7.8823
917.91	7.8819
919.37	7.8813
920.84	7.8808
922.31	7.8803
923.78	7.8798
925.25	7.8794
926.71	7.8789
928.18	7.8784
929.65	7.8780
931.12	7.8776
932.58	7.8770
934.05	7.8765
935.52	7.8761
936.99	7.8755
938.45	7.8751
939.92	7.8746
941.39	7.8741
942.86	7.8736
944.33	7.8732
945.79	7.8727
947.26	7.8722
948.73	7.8718
950.20	7.8712
951.66	7.8707
953.13	7.8703
954.60	7.8698
956.07	7.8693
957.53	7.8688
959.00	7.8684
960.47	7.8679
961.94	7.8674
963.41	7.8668
964.87	7.8663
966.34	7.8659
967.81	7.8655
969.28	7.8649
970.74	7.8644
972.21	7.8640
973.68	7.8636
975.15	7.8630
976.61	7.8625
978.08	7.8619
979.55	7.8615
981.02	7.8611
982.49	7.8606
983.95	7.8600
985.42	7.8596
986.89	7.8592
988.36	7.8586
