Date,Time,Carrier,X_Pos,Y_Pos,Data1,Data2,H_Avg,I_Avg,J_L,K_a,L_b,M_L,N_a,O_b
2020-11-20,12:27:40,35,1320,165,2,0,4.9869,0.948,24.21,1.85,-3.84,98.3,-0.26,0.61
2020-11-20,12:27:49,35,1320,590,6,0,4.9878,0.9478,24.21,1.86,-3.67,98.29,-0.27,0.59
2020-11-20,12:27:58,35,1320,1010,10,0,4.9576,0.9478,24.22,1.79,-3.27,98.28,-0.24,0.53
2020-11-20,12:28:02,35,1320,1205,12,2,4.9904,0.9475,24.24,1.87,-3.75,98.28,-0.26,0.61
2020-11-20,12:29:10,32,1320,165,2,0,4.9878,0.9479,24.24,1.83,-3.79,98.29,-0.26,0.61
2020-11-20,12:29:28,32,1320,1010,10,0,4.9581,0.9478,24.23,1.76,-3.17,98.28,-0.25,0.53
2020-11-20,12:29:32,32,1320,1205,12,2,4.9949,0.9473,24.23,1.89,-3.71,98.27,-0.27,0.6
2020-11-20,12:30:40,31,1320,165,2,0,4.9758,0.9479,24.2,1.84,-3.83,98.3,-0.26,0.62
2020-11-20,12:30:49,31,1320,590,6,0,5.0059,0.9475,24.24,1.88,-3.69,98.29,-0.28,0.62
2020-11-20,12:30:58,31,1320,1010,10,0,4.9733,0.9476,24.23,1.79,-3.25,98.28,-0.26,0.55
2020-11-20,12:31:02,31,1320,1205,12,2,4.9952,0.9474,24.21,1.93,-3.81,98.28,-0.28,0.62
2020-11-20,12:32:09,43,1320,165,2,0,4.9862,0.9476,24.21,1.81,-3.5,98.29,-0.26,0.6
2020-11-20,12:32:18,43,1320,590,6,0,4.987,0.9476,24.21,1.79,-3.3,98.29,-0.27,0.58
2020-11-20,12:32:27,43,1320,1010,10,0,4.9587,0.9475,24.23,1.71,-2.93,98.27,-0.25,0.54
2020-11-20,12:32:32,43,1320,1205,12,2,4.9762,0.9465,24.2,1.84,-3.46,98.24,-0.26,0.58
2020-11-20,12:33:39,48,1320,165,2,0,4.9801,0.9479,24.26,1.69,-3.16,98.29,-0.24,0.53
