Date,Time,Carrier,X_Pos,Y_Pos,Data1,Data2,H_Avg,I_Avg,J_L,K_a,L_b,M_L,N_a,O_b
2020-11-20,13:45:46,33,1320,1205,12,2,4.9972,0.9473,24.21,1.84,-3.43,98.28,-0.26,0.57
2020-11-20,13:46:53,14,1320,165,2,0,4.9811,0.948,24.21,1.82,-3.72,98.3,-0.25,0.59
2020-11-20,13:47:02,14,1320,590,6,0,4.9811,0.9478,24.21,1.82,-3.54,98.29,-0.25,0.58
2020-11-20,13:47:10,14,1320,1010,10,0,4.9787,0.9476,24.25,1.77,-3.17,98.28,-0.25,0.53
2020-11-20,13:47:15,14,1320,1205,12,2,5,0.9474,24.24,1.87,-3.67,98.28,-0.27,0.59
2020-11-20,13:48:23,40,1320,165,2,0,4.9701,0.948,24.2,1.78,-3.44,98.3,-0.24,0.56
2020-11-20,13:48:32,40,1320,590,6,0,4.9815,0.9478,24.23,1.75,-3.21,98.29,-0.25,0.53
2020-11-20,13:48:41,40,1320,1010,10,0,4.9585,0.9478,24.28,1.62,-2.74,98.27,-0.23,0.48
2020-11-20,13:48:46,40,1320,1205,12,2,4.9724,0.9476,24.21,1.77,-3.29,98.28,-0.24,0.53
2020-11-20,13:49:53,27,1320,165,2,0,4.9776,0.948,24.2,1.77,-3.57,98.3,-0.25,0.58
2020-11-20,13:50:02,27,1320,590,6,0,4.9904,0.9477,24.23,1.76,-3.32,98.29,-0.25,0.54
2020-11-20,13:50:11,27,1320,1010,10,0,4.9723,0.9475,24.21,1.73,-2.98,98.28,-0.24,0.51
2020-11-20,13:50:16,27,1320,1205,12,2,4.9935,0.9474,24.2,1.85,-3.51,98.28,-0.26,0.57
2020-11-20,13:51:22,26,1320,165,2,0,4.9841,0.9479,24.24,1.76,-3.57,98.3,-0.26,0.6
2020-11-20,13:51:31,26,1320,590,6,0,4.9837,0.9477,24.21,1.79,-3.38,98.29,-0.26,0.57
2020-11-20,13:51:40,26,1320,1010,10,0,4.9653,0.9477,24.23,1.7,-2.95,98.28,-0.25,0.51
2020-11-20,13:51:44,26,1320,1205,12,2,5.0047,0.9473,24.25,1.81,-3.44,98.28,-0.26,0.57
2020-11-20,13:52:52,18,1320,165,2,0,4.9732,0.948,24.22,1.79,-3.61,98.3,-0.25,0.57
2020-11-20,13:53:01,18,1320,590,6,0,4.9701,0.948,24.23,1.74,-3.34,98.29,-0.25,0.54
2020-11-20,13:53:09,18,1320,1010,10,0,4.939,0.948,24.25,1.65,-2.92,98.28,-0.23,0.49
2020-11-20,13:53:14,18,1320,1205,12,2,4.9685,0.9476,24.21,1.83,-3.58,98.28,-0.25,0.57
2020-11-20,13:54:21,7,1320,165,2,0,4.9898,0.9478,24.24,1.81,-3.67,98.29,-0.25,0.59
2020-11-20,13:54:30,7,1320,590,6,0,4.9785,0.9478,24.21,1.83,-3.5,98.29,-0.25,0.56
2020-11-20,13:54:40,7,1320,1010,10,0,4.948,0.9478,24.22,1.71,-3.03,98.28,-0.25,0.52
2020-11-20,13:54:44,7,1320,1205,12,2,4.9778,0.9475,24.22,1.86,-3.62,98.27,-0.25,0.59
2020-11-20,13:55:51,13,1320,165,2,0,4.9866,0.9478,24.23,1.82,-3.74,98.29,-0.26,0.61
2020-11-20,13:56:01,13,1320,590,6,0,4.9996,0.9476,24.24,1.85,-3.55,98.29,-0.26,0.57
2020-11-20,13:56:10,13,1320,1010,10,0,4.985,0.9475,24.22,1.8,-3.18,98.28,-0.26,0.52
2020-11-20,13:56:14,13,1320,1205,12,2,5.0112,0.947,24.22,1.92,-3.7,98.27,-0.27,0.59
2020-11-20,13:57:21,35,1320,165,2,0,5.0031,0.9475,24.21,1.9,-3.9,98.29,-0.27,0.64
2020-11-20,13:57:30,35,1320,590,6,0,5.0121,0.9473,24.21,1.93,-3.74,98.29,-0.27,0.61
2020-11-20,13:57:39,35,1320,1010,10,0,4.9826,0.9474,24.2,1.86,-3.35,98.28,-0.27,0.57
2020-11-20,13:57:43,35,1320,1205,12,2,5.0004,0.9472,24.2,1.95,-3.84,98.28,-0.28,0.63
2020-11-20,13:58:50,32,1320,165,2,0,4.9987,0.9477,24.25,1.86,-3.94,98.29,-0.26,0.64
2020-11-20,13:59:00,32,1320,590,6,0,5.0092,0.9476,24.25,1.91,-3.78,98.29,-0.26,0.59
2020-11-20,13:59:08,32,1320,1010,10,0,4.9806,0.9475,24.24,1.84,-3.38,98.28,-0.25,0.56
2020-11-20,13:59:13,32,1320,1205,12,2,4.9993,0.9471,24.24,1.93,-3.88,98.27,-0.26,0.64
2020-11-20,14:00:21,31,1320,165,2,0,4.9626,0.948,24.2,1.83,-3.8,98.3,-0.26,0.63
2020-11-20,14:00:30,31,1320,590,6,0,4.9907,0.9477,24.24,1.84,-3.62,98.29,-0.27,0.6
2020-11-20,14:00:39,31,1320,1010,10,0,4.9776,0.9475,24.22,1.83,-3.29,98.28,-0.25,0.55
2020-11-20,14:00:43,31,1320,1205,12,2,5.0034,0.9472,24.22,1.93,-3.77,98.28,-0.27,0.63
2020-11-20,14:01:50,43,1320,165,2,0,4.9845,0.9478,24.22,1.82,-3.56,98.29,-0.25,0.59
2020-11-20,14:02:00,43,1320,590,6,0,4.9866,0.9478,24.23,1.79,-3.36,98.29,-0.25,0.55
2020-11-20,14:02:08,43,1320,1010,10,0,4.9647,0.9478,24.24,1.71,-2.97,98.28,-0.24,0.5
2020-11-20,14:02:13,43,1320,1205,12,2,4.9937,0.9473,24.24,1.83,-3.49,98.27,-0.25,0.57
2020-11-20,14:03:19,48,1320,165,2,0,4.9533,0.9482,24.24,1.66,-3.16,98.3,-0.24,0.51
2020-11-20,14:03:28,48,1320,590,6,0,4.9796,0.9478,24.24,1.68,-3.02,98.29,-0.24,0.51
2020-11-20,14:03:37,48,1320,1010,10,0,4.9547,0.9479,24.27,1.57,-2.58,98.28,-0.22,0.45
2020-11-20,14:03:42,48,1320,1205,12,2,4.9753,0.9476,24.24,1.69,-3.1,98.28,-0.25,0.53
2020-11-20,14:04:49,8,1320,165,2,0,4.9926,0.9477,24.24,1.78,-3.71,98.29,-0.25,0.6
2020-11-20,14:04:59,8,1320,590,6,0,5.0024,0.9475,24.2,1.86,-3.61,98.29,-0.26,0.59
2020-11-20,14:05:08,8,1320,1010,10,0,4.9694,0.9476,24.21,1.75,-3.18,98.28,-0.25,0.54
2020-11-20,14:05:12,8,1320,1205,12,2,4.9968,0.9473,24.2,1.87,-3.69,98.28,-0.26,0.6
2020-11-20,14:06:19,37,1320,165,2,0,4.9622,0.9481,24.22,1.75,-3.54,98.3,-0.26,0.57
2020-11-20,14:06:28,37,1320,590,6,0,4.9833,0.9478,24.21,1.83,-3.49,98.29,-0.26,0.58
2020-11-20,14:06:37,37,1320,1010,10,0,4.9686,0.9478,24.24,1.75,-3.08,98.28,-0.25,0.52
2020-11-20,14:06:42,37,1320,1205,12,2,4.9831,0.9476,24.23,1.86,-3.66,98.28,-0.26,0.59
2020-11-20,14:07:49,10,1320,165,2,0,4.9828,0.9479,24.23,1.79,-3.64,98.3,-0.25,0.58
2020-11-20,14:07:58,10,1320,590,6,0,4.9712,0.9479,24.23,1.77,-3.43,98.29,-0.26,0.56
2020-11-20,14:08:07,10,1320,1010,10,0,4.956,0.9478,24.25,1.7,-3.05,98.28,-0.25,0.51
2020-11-20,14:08:11,10,1320,1205,12,2,4.9971,0.9473,24.26,1.83,-3.58,98.27,-0.26,0.59
2020-11-20,14:09:18,2,1320,165,2,0,4.9756,0.948,24.21,1.83,-3.79,98.3,-0.26,0.61
2020-11-20,14:09:28,2,1320,590,6,0,4.9805,0.9477,24.21,1.84,-3.61,98.29,-0.26,0.6
2020-11-20,14:09:36,2,1320,1010,10,0,4.959,0.9477,24.22,1.77,-3.23,98.28,-0.25,0.54
2020-11-20,14:09:41,2,1320,1205,12,2,4.9817,0.9474,24.2,1.89,-3.77,98.28,-0.27,0.62
2020-11-20,14:10:48,63,1320,165,2,0,4.9873,0.9479,24.22,1.79,-3.54,98.3,-0.25,0.56
2020-11-20,14:10:57,63,1320,590,6,0,4.9833,0.9479,24.21,1.78,-3.32,98.3,-0.25,0.53
2020-11-20,14:11:06,63,1320,1010,10,0,4.9456,0.948,24.24,1.65,-2.87,98.28,-0.23,0.48
2020-11-20,14:11:10,63,1320,1205,12,2,4.9596,0.9477,24.2,1.79,-3.42,98.28,-0.25,0.54
2020-11-20,14:12:17,3,1320,165,2,0,4.9904,0.9477,24.2,1.77,-3.51,98.3,-0.26,0.59
2020-11-20,14:12:26,3,1320,590,6,0,4.9944,0.9474,24.22,1.74,-3.25,98.28,-0.26,0.57
2020-11-20,14:12:35,3,1320,1010,10,0,4.9483,0.9477,24.21,1.65,-2.86,98.28,-0.24,0.51
2020-11-20,14:12:40,3,1320,1205,12,2,4.9894,0.9473,24.22,1.78,-3.41,98.27,-0.26,0.57
2020-11-20,14:13:48,12,1320,165,2,0,4.973,0.9481,24.2,1.81,-3.53,98.3,-0.25,0.56
2020-11-20,14:13:57,12,1320,590,6,0,4.9809,0.9479,24.22,1.76,-3.3,98.29,-0.25,0.52
2020-11-20,14:14:06,12,1320,1010,10,0,4.9481,0.948,24.25,1.67,-2.94,98.28,-0.23,0.48
2020-11-20,14:14:11,12,1320,1205,12,2,4.9786,0.9475,24.23,1.8,-3.48,98.28,-0.25,0.56
2020-11-20,14:15:17,33,1320,165,2,0,4.969,0.9479,24.18,1.79,-3.55,98.3,-0.25,0.59
2020-11-20,14:15:27,33,1320,590,6,0,4.9891,0.9476,24.23,1.78,-3.37,98.29,-0.25,0.56
2020-11-20,14:15:35,33,1320,1010,10,0,4.9615,0.9477,24.23,1.72,-2.97,98.28,-0.24,0.5
2020-11-20,14:15:40,33,1320,1205,12,2,4.98,0.9474,24.21,1.84,-3.5,98.28,-0.26,0.59
2020-11-20,14:16:47,14,1320,165,2,0,4.988,0.9478,24.27,1.77,-3.67,98.29,-0.25,0.59
2020-11-20,14:16:56,14,1320,590,6,0,4.9745,0.9479,24.22,1.78,-3.46,98.29,-0.25,0.56
2020-11-20,14:17:05,14,1320,1010,10,0,4.9743,0.9477,24.25,1.73,-3.1,98.28,-0.24,0.52
2020-11-20,14:17:09,14,1320,1205,12,2,4.9995,0.9473,24.24,1.84,-3.6,98.28,-0.26,0.6
2020-11-20,14:18:17,40,1320,165,2,0,4.947,0.9482,24.23,1.69,-3.33,98.29,-0.25,0.56
2020-11-20,14:18:26,40,1320,590,6,0,4.9792,0.9477,24.25,1.71,-3.18,98.29,-0.26,0.55
2020-11-20,14:18:35,40,1320,1010,10,0,4.9588,0.9478,24.24,1.65,-2.78,98.28,-0.24,0.49
2020-11-20,14:18:39,40,1320,1205,12,2,4.9867,0.9475,24.25,1.76,-3.32,98.28,-0.25,0.56
2020-11-20,14:19:47,27,1320,165,2,0,4.9801,0.948,24.23,1.76,-3.51,98.3,-0.25,0.56
2020-11-20,14:19:56,27,1320,590,6,0,4.9899,0.9478,24.25,1.78,-3.41,98.29,-0.25,0.54
2020-11-20,14:20:05,27,1320,1010,10,0,4.9686,0.9477,24.26,1.67,-2.91,98.28,-0.25,0.5
2020-11-20,14:20:09,27,1320,1205,12,2,4.9878,0.9474,24.23,1.81,-3.47,98.28,-0.26,0.57
2020-11-20,14:21:16,26,1320,165,2,0,4.9736,0.9479,24.22,1.75,-3.49,98.3,-0.26,0.6
2020-11-20,14:21:25,26,1320,590,6,0,4.9812,0.9478,24.23,1.73,-3.26,98.29,-0.25,0.54
2020-11-20,14:21:34,26,1320,1010,10,0,4.9582,0.9478,24.23,1.67,-2.89,98.28,-0.24,0.5
2020-11-20,14:21:38,26,1320,1205,12,2,4.9934,0.9474,24.23,1.8,-3.4,98.28,-0.26,0.58
2020-11-20,14:22:46,18,1320,165,2,0,4.988,0.9478,24.24,1.8,-3.65,98.29,-0.26,0.61
2020-11-20,14:22:55,18,1320,590,6,0,4.9876,0.9476,24.24,1.8,-3.48,98.29,-0.26,0.58
2020-11-20,14:23:04,18,1320,1010,10,0,4.9535,0.9477,24.22,1.71,-3.06,98.28,-0.25,0.54
2020-11-20,14:23:08,18,1320,1205,12,2,4.9881,0.9473,24.24,1.83,-3.59,98.27,-0.26,0.6
2020-11-20,14:24:15,7,1320,165,2,0,4.9627,0.9481,24.24,1.74,-3.56,98.29,-0.24,0.57
2020-11-20,14:24:24,7,1320,590,6,0,4.9749,0.9479,24.21,1.8,-3.43,98.3,-0.26,0.56
2020-11-20,14:24:33,7,1320,1010,10,0,4.9593,0.9478,24.21,1.74,-3.05,98.28,-0.24,0.51
2020-11-20,14:24:37,7,1320,1205,12,2,4.9812,0.9474,24.21,1.84,-3.55,98.28,-0.26,0.59
2020-11-20,14:25:45,13,1320,165,2,0,5.0006,0.9477,24.25,1.84,-3.84,98.29,-0.26,0.61
2020-11-20,14:25:55,13,1320,590,6,0,5.0016,0.9477,24.22,1.88,-3.65,98.29,-0.27,0.59
2020-11-20,14:26:04,13,1320,1010,10,0,4.9851,0.9476,24.24,1.79,-3.24,98.28,-0.25,0.53
2020-11-20,14:26:08,13,1320,1205,12,2,5.0074,0.9472,24.22,1.91,-3.74,98.27,-0.26,0.59
2020-11-20,14:27:15,35,1320,165,2,0,4.9901,0.9478,24.23,1.81,-3.79,98.3,-0.26,0.61
2020-11-20,14:27:24,35,1320,590,6,0,4.9824,0.9478,24.21,1.81,-3.57,98.29,-0.26,0.58
2020-11-20,14:27:33,35,1320,1010,10,0,4.9769,0.9476,24.23,1.8,-3.29,98.28,-0.26,0.55
2020-11-20,14:27:37,35,1320,1205,12,2,4.9947,0.9432,24.23,1.91,-3.8,98.12,-0.28,0.6
2020-11-20,14:28:44,32,1320,165,2,0,4.9983,0.9477,24.23,1.85,-3.86,98.29,-0.26,0.62
2020-11-20,14:28:53,32,1320,590,6,0,4.992,0.9477,24.23,1.86,-3.67,98.29,-0.26,0.58
2020-11-20,14:29:02,32,1320,1010,10,0,4.9546,0.948,24.22,1.75,-3.21,98.28,-0.24,0.52
2020-11-20,14:29:07,32,1320,1205,12,2,4.9929,0.9474,24.26,1.85,-3.72,98.28,-0.26,0.6
2020-11-20,14:30:14,31,1320,165,2,0,4.9814,0.9478,24.23,1.8,-3.77,98.29,-0.26,0.62
2020-11-20,14:30:23,31,1320,590,6,0,4.9998,0.9476,24.22,1.87,-3.66,98.29,-0.27,0.6
2020-11-20,14:30:32,31,1320,1010,10,0,4.9755,0.9477,24.22,1.76,-3.19,98.28,-0.25,0.54
2020-11-20,14:30:37,31,1320,1205,12,2,5.0088,0.9472,24.24,1.9,-3.75,98.28,-0.26,0.62
2020-11-20,14:31:43,43,1320,165,2,0,4.9658,0.9479,24.22,1.73,-3.38,98.29,-0.25,0.57
2020-11-20,14:31:52,43,1320,590,6,0,4.9696,0.9479,24.23,1.7,-3.15,98.29,-0.25,0.53
2020-11-20,14:32:01,43,1320,1010,10,0,4.9655,0.9478,24.26,1.66,-2.87,98.28,-0.24,0.49
2020-11-20,14:32:06,43,1320,1205,12,2,4.9912,0.9473,24.24,1.78,-3.36,98.27,-0.25,0.54
2020-11-20,14:33:13,48,1320,165,2,0,4.9643,0.9482,24.22,1.72,-3.27,98.3,-0.25,0.55
2020-11-20,14:33:22,48,1320,590,6,0,4.9817,0.9478,24.23,1.7,-3.07,98.29,-0.25,0.53
2020-11-20,14:33:31,48,1320,1010,10,0,4.9654,0.9477,24.25,1.64,-2.71,98.28,-0.24,0.48
2020-11-20,14:33:35,48,1320,1205,12,2,4.9848,0.9475,24.23,1.74,-3.17,98.28,-0.26,0.55
2020-11-20,14:34:43,8,1320,165,2,0,4.9852,0.9479,24.24,1.77,-3.7,98.29,-0.25,0.59
2020-11-20,14:34:52,8,1320,590,6,0,5.0077,0.9476,24.23,1.84,-3.59,98.29,-0.27,0.59
2020-11-20,14:35:00,8,1320,1010,10,0,4.9878,0.9475,24.23,1.78,-3.18,98.28,-0.26,0.54
2020-11-20,14:35:05,8,1320,1205,12,2,5.0016,0.9473,24.22,1.87,-3.67,98.28,-0.27,0.61
2020-11-20,14:36:13,37,1320,165,2,0,4.9706,0.9481,24.22,1.75,-3.48,98.3,-0.24,0.56
2020-11-20,14:36:22,37,1320,590,6,0,4.981,0.9478,24.22,1.76,-3.32,98.29,-0.25,0.55
2020-11-20,14:36:31,37,1320,1010,10,0,4.9674,0.9477,24.25,1.72,-2.99,98.28,-0.24,0.51
2020-11-20,14:36:35,37,1320,1205,12,2,4.9814,0.9475,24.23,1.83,-3.51,98.28,-0.26,0.58
2020-11-20,14:37:42,10,1320,165,2,0,4.9739,0.9477,24.22,1.77,-3.59,98.29,-0.25,0.61
2020-11-20,14:37:51,10,1320,590,6,0,4.974,0.9477,24.22,1.77,-3.42,98.29,-0.25,0.57
2020-11-20,14:38:00,10,1320,1010,10,0,4.9524,0.9477,24.24,1.67,-2.97,98.28,-0.24,0.51
2020-11-20,14:38:05,10,1320,1205,12,2,4.9825,0.9474,24.22,1.82,-3.52,98.28,-0.25,0.58
2020-11-20,14:39:12,2,1320,165,2,0,4.9864,0.948,24.23,1.83,-3.71,98.3,-0.25,0.59
2020-11-20,14:39:21,2,1320,590,6,0,4.9891,0.9478,24.23,1.85,-3.55,98.3,-0.26,0.57
2020-11-20,14:39:30,2,1320,1010,10,0,4.97,0.9477,24.23,1.78,-3.18,98.28,-0.25,0.53
2020-11-20,14:39:34,2,1320,1205,12,2,4.9947,0.9473,24.21,1.91,-3.71,98.28,-0.26,0.6
2020-11-20,14:40:42,63,1320,165,2,0,4.9931,0.9479,24.22,1.79,-3.54,98.3,-0.25,0.57
2020-11-20,14:40:51,63,1320,590,6,0,4.9973,0.9477,24.23,1.81,-3.39,98.29,-0.25,0.54
2020-11-20,14:41:00,63,1320,1010,10,0,4.9643,0.9477,24.24,1.72,-3,98.28,-0.25,0.51
2020-11-20,14:41:04,63,1320,1205,12,2,4.9764,0.9477,24.23,1.83,-3.51,98.28,-0.25,0.55
2020-11-20,14:42:10,3,1320,165,2,0,4.9986,0.9477,24.23,1.82,-3.59,98.3,-0.26,0.59
2020-11-20,14:42:19,3,1320,590,6,0,4.9987,0.9476,24.24,1.79,-3.4,98.29,-0.26,0.57
2020-11-20,14:42:28,3,1320,1010,10,0,4.9743,0.9476,24.24,1.72,-3.01,98.28,-0.25,0.52
2020-11-20,14:42:33,3,1320,1205,12,2,4.9925,0.9475,24.23,1.84,-3.54,98.28,-0.26,0.59
2020-11-20,14:43:41,12,1320,165,2,0,4.9582,0.9481,24.2,1.74,-3.39,98.3,-0.25,0.56
2020-11-20,14:43:50,12,1320,590,6,0,4.9784,0.9478,24.24,1.73,-3.2,98.29,-0.24,0.53
2020-11-20,14:43:59,12,1320,1010,10,0,4.956,0.9479,24.23,1.68,-2.85,98.28,-0.23,0.47
2020-11-20,14:44:04,12,1320,1205,12,2,4.978,0.9476,24.2,1.82,-3.38,98.29,-0.26,0.55
2020-11-20,14:45:11,33,1320,165,2,0,4.9721,0.948,24.21,1.74,-3.59,98.3,-0.25,0.58
2020-11-20,14:45:20,33,1320,590,6,0,4.9963,0.9476,24.23,1.77,-3.4,98.29,-0.26,0.56
2020-11-20,14:45:29,33,1320,1010,10,0,4.9671,0.9477,24.21,1.71,-3.01,98.28,-0.25,0.51
2020-11-20,14:45:33,33,1320,1205,12,2,4.987,0.9474,24.2,1.83,-3.52,98.28,-0.26,0.57
2020-11-20,14:48:10,14,1320,165,2,0,4.981,0.948,24.25,1.73,-3.63,98.29,-0.24,0.57
2020-11-20,14:48:19,14,1320,590,6,0,4.9598,0.948,24.21,1.72,-3.39,98.29,-0.24,0.56
2020-11-20,14:48:28,14,1320,1010,10,0,4.9465,0.9479,24.21,1.68,-3.04,98.28,-0.24,0.51
2020-11-20,14:48:32,14,1320,1205,12,2,4.9828,0.9473,24.2,1.84,-3.59,98.28,-0.26,0.59
2020-11-20,14:49:39,40,1320,165,2,0,4.9678,0.9481,24.21,1.75,-3.41,98.3,-0.25,0.55
2020-11-20,14:49:48,40,1320,590,6,0,4.975,0.9479,24.22,1.74,-3.2,98.29,-0.24,0.51
2020-11-20,14:49:57,40,1320,1010,10,0,4.946,0.9481,24.26,1.61,-2.75,98.28,-0.22,0.45
2020-11-20,14:50:02,40,1320,1205,12,2,4.9668,0.9478,24.22,1.76,-3.34,98.28,-0.25,0.53
2020-11-20,14:51:09,27,1320,165,2,0,4.9587,0.9481,24.2,1.75,-3.59,98.3,-0.25,0.58
2020-11-20,14:51:19,27,1320,590,6,0,4.9668,0.9478,24.19,1.79,-3.4,98.29,-0.26,0.58
2020-11-20,14:51:28,27,1320,1010,10,0,4.9525,0.9478,24.22,1.71,-3.02,98.28,-0.25,0.52
2020-11-20,14:51:32,27,1320,1205,12,2,4.9843,0.9473,24.24,1.81,-3.52,98.27,-0.26,0.59
2020-11-20,14:52:39,26,1320,165,2,0,4.9943,0.9477,24.24,1.79,-3.63,98.29,-0.25,0.59
2020-11-20,14:52:48,26,1320,590,6,0,4.9833,0.9477,24.22,1.78,-3.4,98.29,-0.25,0.56
2020-11-20,14:52:57,26,1320,1010,10,0,4.9536,0.9478,24.23,1.67,-2.93,98.28,-0.23,0.49
2020-11-20,14:53:01,26,1320,1205,12,2,4.984,0.9475,24.21,1.82,-3.49,98.28,-0.26,0.57
2020-11-20,14:54:09,18,1320,165,2,0,4.9858,0.9481,24.25,1.83,-3.77,98.3,-0.26,0.59
2020-11-20,14:54:18,18,1320,590,6,0,4.981,0.948,24.22,1.85,-3.61,98.3,-0.26,0.56
2020-11-20,14:54:27,18,1320,1010,10,0,4.9549,0.948,24.2,1.8,-3.22,98.29,-0.25,0.51
2020-11-20,14:54:32,18,1320,1205,12,2,4.9788,0.9477,24.19,1.91,-3.74,98.28,-0.26,0.58
2020-11-20,14:55:38,7,1320,165,2,0,4.9454,0.9481,24.21,1.73,-3.52,98.29,-0.25,0.6
2020-11-20,14:55:47,7,1320,590,6,0,4.9711,0.9477,24.25,1.75,-3.39,98.28,-0.26,0.58
2020-11-20,14:55:56,7,1320,1010,10,0,4.9434,0.9477,24.25,1.64,-2.89,98.27,-0.24,0.52
2020-11-20,14:56:01,7,1320,1205,12,2,4.9638,0.9475,24.21,1.8,-3.51,98.28,-0.26,0.6
2020-11-20,14:57:09,13,1320,165,2,0,4.9711,0.9479,24.22,1.79,-3.73,98.29,-0.25,0.61
2020-11-20,14:57:18,13,1320,590,6,0,4.9894,0.9475,24.23,1.83,-3.55,98.28,-0.26,0.6
2020-11-20,14:57:27,13,1320,1010,10,0,4.9725,0.9475,24.22,1.79,-3.21,98.28,-0.26,0.55
2020-11-20,14:57:31,13,1320,1205,12,2,4.9922,0.9473,24.2,1.88,-3.68,98.27,-0.26,0.6
2020-11-20,14:58:38,35,1320,165,2,0,4.9799,0.9479,24.2,1.84,-3.86,98.3,-0.27,0.62
2020-11-20,14:58:47,35,1320,590,6,0,4.9832,0.9478,24.21,1.85,-3.66,98.29,-0.27,0.6
2020-11-20,14:58:56,35,1320,1010,10,0,4.9706,0.9477,24.21,1.83,-3.35,98.28,-0.27,0.55
2020-11-20,14:59:01,35,1320,1205,12,2,4.9977,0.9465,24.22,1.92,-3.83,98.25,-0.28,0.61
2020-11-20,15:00:07,32,1320,165,2,0,4.9735,0.948,24.25,1.77,-3.73,98.29,-0.25,0.59
2020-11-20,15:00:16,32,1320,590,6,0,4.981,0.9479,24.21,1.85,-3.65,98.3,-0.25,0.56
2020-11-20,15:00:25,32,1320,1010,10,0,4.9651,0.9478,24.21,1.78,-3.2,98.29,-0.25,0.51
2020-11-20,15:00:30,32,1320,1205,12,2,4.9874,0.9475,24.21,1.9,-3.73,98.28,-0.26,0.58
2020-11-20,15:01:37,31,1320,165,2,0,4.9787,0.9479,24.2,1.86,-3.87,98.3,-0.26,0.61
2020-11-20,15:01:46,31,1320,590,6,0,4.9898,0.9477,24.23,1.87,-3.68,98.29,-0.26,0.6
2020-11-20,15:01:55,31,1320,1010,10,0,4.9699,0.9476,24.24,1.81,-3.29,98.28,-0.25,0.54
2020-11-20,15:02:00,31,1320,1205,12,2,4.9952,0.9468,24.22,1.92,-3.78,98.26,-0.27,0.62
2020-11-20,15:03:07,43,1320,165,2,0,4.9698,0.948,24.23,1.73,-3.4,98.29,-0.25,0.56
2020-11-20,15:03:16,43,1320,590,6,0,4.9674,0.9478,24.24,1.7,-3.15,98.29,-0.25,0.54
2020-11-20,15:03:25,43,1320,1010,10,0,4.9477,0.9478,24.21,1.67,-2.88,98.28,-0.24,0.49
2020-11-20,15:03:30,43,1320,1205,12,2,4.9653,0.9475,24.18,1.79,-3.37,98.28,-0.26,0.57
2020-11-20,15:04:36,48,1320,165,2,0,4.9532,0.948,24.22,1.67,-3.18,98.29,-0.23,0.54
2020-11-20,15:04:45,48,1320,590,6,0,4.9688,0.9459,24.23,1.65,-2.98,98.21,-0.24,0.48
2020-11-20,15:04:54,48,1320,1010,10,0,4.9598,0.9475,24.27,1.57,-2.58,98.27,-0.23,0.46
2020-11-20,15:04:59,48,1320,1205,12,2,4.9853,0.9465,24.23,1.71,-3.11,98.24,-0.25,0.53
2020-11-20,15:06:06,8,1320,165,2,0,5.0006,0.9477,24.24,1.82,-3.85,98.29,-0.26,0.64
2020-11-20,15:06:15,8,1320,590,6,0,5.0049,0.9474,24.23,1.86,-3.69,98.29,-0.27,0.62
2020-11-20,15:06:24,8,1320,1010,10,0,4.9698,0.9475,24.22,1.74,-3.21,98.28,-0.25,0.56
2020-11-20,15:06:28,8,1320,1205,12,2,5.0021,0.9471,24.22,1.87,-3.71,98.27,-0.27,0.63
2020-11-20,15:07:36,37,1320,165,2,0,4.9566,0.9482,24.2,1.75,-3.49,98.3,-0.25,0.56
2020-11-20,15:07:45,37,1320,590,6,0,4.981,0.9477,24.23,1.78,-3.34,98.29,-0.25,0.56
2020-11-20,15:07:47,37,1320,680,7,0,5.0294,0.939,24.21,1.89,-3.47,97.97,-0.28,0.53
2020-11-20,15:07:54,37,1320,1010,10,0,4.9634,0.9478,24.21,1.76,-3.04,98.28,-0.24,0.51
2020-11-20,15:07:58,37,1320,1205,12,2,4.9951,0.9473,24.23,1.85,-3.51,98.27,-0.26,0.59
2020-11-20,15:09:06,10,1320,165,2,0,4.9583,0.9481,24.22,1.73,-3.53,98.29,-0.24,0.56
2020-11-20,15:09:15,10,1320,590,6,0,4.9671,0.9479,24.23,1.73,-3.32,98.29,-0.25,0.55
2020-11-20,15:09:18,10,1320,680,7,0,5.0098,0.9473,24.21,1.86,-3.51,98.28,-0.26,0.57
2020-11-20,15:09:24,10,1320,1010,10,0,4.9646,0.9477,24.27,1.68,-2.98,98.27,-0.24,0.51
2020-11-20,15:09:29,10,1320,1205,12,2,4.9841,0.9474,24.22,1.81,-3.51,98.28,-0.26,0.58
2020-11-20,15:10:36,2,1320,165,2,0,4.9789,0.9479,24.23,1.83,-3.82,98.3,-0.27,0.62
2020-11-20,15:10:45,2,1320,590,6,0,4.9843,0.9476,24.23,1.87,-3.7,98.29,-0.27,0.62
2020-11-20,15:10:54,2,1320,1010,10,0,4.966,0.9476,24.23,1.79,-3.29,98.28,-0.25,0.55
2020-11-20,15:10:59,2,1320,1205,12,2,4.9844,0.9475,24.21,1.92,-3.83,98.28,-0.28,0.63
2020-11-20,15:12:05,63,1320,165,2,0,4.989,0.9479,24.23,1.79,-3.51,98.3,-0.25,0.56
2020-11-20,15:12:14,63,1320,590,6,0,4.9737,0.9479,24.22,1.77,-3.3,98.29,-0.24,0.53
2020-11-20,15:12:24,63,1320,1010,10,0,4.9665,0.9477,24.26,1.71,-2.96,98.27,-0.24,0.49
2020-11-20,15:12:28,63,1320,1205,12,2,4.9901,0.9473,24.27,1.79,-3.41,98.27,-0.25,0.56
